category,sample_index,relative_path,filename,extension,size_bytes,selection_rank
ADVE,1,data/raw/dataset/ADVE/502612183+-2183.jpg,502612183+-2183.jpg,.jpg,448665,1
ADVE,2,data/raw/dataset/ADVE/2084396137_6138.jpg,2084396137_6138.jpg,.jpg,155970,2
ADVE,3,data/raw/dataset/ADVE/2050834062.jpg,2050834062.jpg,.jpg,1325204,3
Email,1,data/raw/dataset/Email/2078309558.jpg,2078309558.jpg,.jpg,231711,1
Email,2,data/raw/dataset/Email/529216154+-6154.jpg,529216154+-6154.jpg,.jpg,195959,2
Email,3,data/raw/dataset/Email/530489831+-9834.jpg,530489831+-9834.jpg,.jpg,132524,3
Form,1,data/raw/dataset/Form/93117926_7928.jpg,93117926_7928.jpg,.jpg,278635,1
Form,2,data/raw/dataset/Form/93158159.jpg,93158159.jpg,.jpg,316491,2
Form,3,data/raw/dataset/Form/2045007011.jpg,2045007011.jpg,.jpg,481148,3
Letter,1,data/raw/dataset/Letter/522399399+-9399.jpg,522399399+-9399.jpg,.jpg,281914,1
Letter,2,data/raw/dataset/Letter/518074129_518074130.jpg,518074129_518074130.jpg,.jpg,621313,2
Letter,3,data/raw/dataset/Letter/11220408_11220409.jpg,11220408_11220409.jpg,.jpg,855575,3
Memo,1,data/raw/dataset/Memo/2051124321_2051124322.jpg,2051124321_2051124322.jpg,.jpg,744716,1
Memo,2,data/raw/dataset/Memo/2057143978_2057143979.jpg,2057143978_2057143979.jpg,.jpg,646873,2
Memo,3,data/raw/dataset/Memo/2050941553.jpg,2050941553.jpg,.jpg,801132,3
News,1,data/raw/dataset/News/2025854306.jpg,2025854306.jpg,.jpg,764277,1
News,2,data/raw/dataset/News/2083513848.jpg,2083513848.jpg,.jpg,348805,2
News,3,data/raw/dataset/News/2070877098.jpg,2070877098.jpg,.jpg,155970,3
Note,1,data/raw/dataset/Note/2025325000.jpg,2025325000.jpg,.jpg,741366,1
Note,2,data/raw/dataset/Note/1003403894_1003403895.jpg,1003403894_1003403895.jpg,.jpg,1314201,2
Note,3,data/raw/dataset/Note/1004867378.jpg,1004867378.jpg,.jpg,215057,3
Report,1,data/raw/dataset/Report/0000972342.jpg,0000972342.jpg,.jpg,242437,1
Report,2,data/raw/dataset/Report/11239042_11239045.jpg,11239042_11239045.jpg,.jpg,790275,2
Report,3,data/raw/dataset/Report/10103478_10103482.jpg,10103478_10103482.jpg,.jpg,847444,3
Resume,1,data/raw/dataset/Resume/50442704-2713.jpg,50442704-2713.jpg,.jpg,269432,1
Resume,2,data/raw/dataset/Resume/10087799_10087801.jpg,10087799_10087801.jpg,.jpg,738078,2
Resume,3,data/raw/dataset/Resume/50463741-3741.jpg,50463741-3741.jpg,.jpg,83725,3
Scientific,1,data/raw/dataset/Scientific/50590463-0469.jpg,50590463-0469.jpg,.jpg,804710,1
Scientific,2,data/raw/dataset/Scientific/2078576212_6288.jpg,2078576212_6288.jpg,.jpg,184061,2
Scientific,3,data/raw/dataset/Scientific/50085955_50085963.jpg,50085955_50085963.jpg,.jpg,647691,3
